Date,Month,Visitors (Visit),Buyers (Placed Orders),Units (Placed Orders),Orders (Placed Orders),Sales (Placed Orders) (VND),Conversion Rate (Visit to Placed),Buyers (Confirmed Orders),Units(Confirmed Orders),Orders (Confirmed Orders),Sales(Confirmed Orders) (VND),Sales per Buyer (Confirmed Orders) (VND),Conversion Rate
1/1/2025,1,732539,15312,30877,17645,4787312571,2.09%,14105,26232,14908,4027570856,285542,1.93%
1/2/2025,1,462890,3231,5561,3522,1024996310,0.70%,3232,5367,3337,966828019,299142,0.70%
1/3/2025,1,513958,3066,4894,3381,935481054,0.60%,2859,4264,2952,808289869,282718,0.56%
1/4/2025,1,524122,3205,5104,3533,972029437,0.61%,2984,4485,3101,850680736,285081,0.57%
1/5/2025,1,498299,3121,5021,3391,953686761,0.63%,2889,4425,2983,836096292,289407,0.58%
1/6/2025,1,483001,3903,6294,4264,1176317853,0.81%,3571,5399,3686,999951155,280020,0.74%
1/7/2025,1,746623,8645,18620,10187,2875252113,1.16%,7650,15041,8307,2315830886,302723,1.02%
1/8/2025,1,482607,3561,5802,3889,1078075461,0.74%,3460,5415,3576,988562921,285712,0.72%
1/9/2025,1,556329,3943,6372,4314,1206537268,0.71%,3715,5618,3832,1059832388,285285,0.67%
1/10/2025,1,522739,7965,15154,8854,2354120821,1.52%,7380,13208,7725,2054225127,278350,1.41%
1/11/2025,1,626913,5377,8678,5867,1508819499,0.86%,5133,7945,5320,1354503137,263881,0.82%
1/12/2025,1,956060,7567,16237,8705,2375553345,0.79%,6791,13540,7354,1991525893,293260,0.71%
1/13/2025,1,1155616,9827,20677,11053,2834671803,0.85%,8900,17608,9430,2415868323,271446,0.77%
1/14/2025,1,1507807,19100,41494,23481,5931008640,1.27%,15831,31315,17737,4451373206,281181,1.05%
1/15/2025,1,1759220,47902,120186,61888,15418132061,2.72%,42453,95019,49136,12152683306,286262,2.41%
1/16/2025,1,914416,10184,21386,12005,2985204957,1.11%,10718,20845,11640,2806181634,261820,1.17%
1/17/2025,1,698142,3165,4956,3420,946756255,0.45%,3216,4945,3317,907475705,282175,0.46%
1/18/2025,1,774644,3112,4932,3410,939931289,0.40%,2969,4465,3075,838661105,282473,0.38%
1/19/2025,1,815574,3406,5582,3718,1087645653,0.42%,3129,4827,3227,924269882,295388,0.38%
1/20/2025,1,541048,3420,5895,3764,1131530740,0.63%,3214,5194,3329,995779440,309826,0.59%
1/21/2025,1,510921,2543,4366,2784,830852469,0.50%,2360,3828,2446,724968022,307190,0.46%
1/22/2025,1,533343,1806,3095,1951,610709387,0.34%,1685,2761,1735,534925893,317463,0.32%
1/23/2025,1,442542,1244,2106,1352,425558773,0.28%,1151,1816,1187,351599947,305473,0.26%
1/24/2025,1,386638,776,1287,830,276693996,0.20%,700,1070,718,212559886,303657,0.18%
1/25/2025,1,368495,790,1335,871,272553616,0.21%,693,1070,714,210457001,303690,0.19%
1/26/2025,1,375249,426,772,471,156756048,0.11%,360,565,373,115879264,321887,0.10%
1/27/2025,1,322218,339,541,376,115908880,0.11%,301,473,319,102928623,341956,0.09%
1/28/2025,1,291584,436,667,472,133926076,0.15%,358,526,372,104948834,293153,0.12%
1/29/2025,1,259908,568,804,612,164466585,0.22%,486,666,501,136550597,280968,0.19%
1/30/2025,1,368850,895,1355,983,278849488,0.24%,784,1138,814,232937038,297114,0.21%
1/31/2025,1,430733,929,1565,1031,345314712,0.22%,807,1275,832,278113831,344627,0.19%
2/1/2025,2,622075,3167,5102,3567,996633978,0.51%,2820,4252,2958,829256744,294063,0.45%
2/2/2025,2,827087,13455,24257,15732,4227485781,1.63%,12531,20923,13467,3625741172,289342,1.52%
2/3/2025,2,705837,4741,6923,5241,1488294165,0.67%,4616,6380,4790,1351108956,292701,0.65%
2/4/2025,2,789078,4999,7888,5527,1626861444,0.63%,4669,6927,4863,1424539262,305106,0.59%
2/5/2025,2,780843,4404,7517,4882,1463472576,0.56%,4107,6569,4256,1269429545,309089,0.53%
2/6/2025,2,658888,4034,6768,4437,1301068505,0.61%,3792,5997,3922,1145465218,302074,0.58%
2/7/2025,2,592897,3375,5814,3693,1089350058,0.57%,3189,5183,3290,969522611,304021,0.54%
2/8/2025,2,694922,3184,5536,3485,1012495468,0.46%,2975,4902,3065,892697655,300066,0.43%
2/9/2025,2,636331,3201,5731,3487,1057096156,0.50%,2995,5065,3090,926977162,309508,0.47%
